PLAYER,TEAM,AGE,GP,W,L,MIN,PTS,FG%,3P%,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,DD2,TD3,+/-,SEASON,NUM_YRS,TARGET_4UP
Kelenna Azubuike,GSW,23,41,18,23,669.3,291,44.5,43.0,78.2,26,68,94,28,39,22,10,49,0,0,-159,2006-07,5,1
Allan Ray,BOS,23,47,9,38,709.6,290,38.6,41.4,76.4,18,51,69,43,42,20,3,85,0,0,-15,2006-07,1,0
Yakhouba Diawara,DEN,24,64,33,31,1176.6,284,34.2,28.8,66.0,27,83,110,55,37,30,7,132,0,0,20,2006-07,4,0
Daniel Gibson,CLE,21,60,33,27,987.6,276,42.4,41.9,71.8,28,64,92,69,44,23,8,94,0,0,84,2006-07,7,1
Leon Powe,BOS,23,63,19,44,719.8,264,44.6,0.0,73.6,97,118,215,10,47,14,22,104,1,0,-40,2006-07,5,1
Alexander Johnson,MEM,24,59,15,44,752.7,260,53.8,0.0,66.1,50,131,181,17,47,25,35,137,3,0,-12,2006-07,2,0
Ronnie Brewer,UTA,22,56,36,20,675.1,260,52.8,0.0,67.5,37,38,75,24,24,37,6,44,0,0,-13,2006-07,8,1
Thabo Sefolosha,CHI,23,71,42,29,867.9,256,42.6,35.7,51.1,35,118,153,60,60,33,11,100,1,0,85,2006-07,14,1
Josh Boone,NJN,22,61,33,28,668.7,254,57.9,0.0,54.4,64,112,176,10,33,11,21,94,1,0,15,2006-07,4,0
JJ Redick,ORL,23,42,19,23,622.3,252,41.0,38.8,90.0,10,42,52,36,21,12,0,52,0,0,0,2006-07,15,1
Sergio Rodriguez,POR,21,67,24,43,861.8,247,42.3,28.2,80.8,20,71,91,218,77,35,2,72,1,0,-103,2006-07,5,1
Mardy Collins,NYK,22,52,19,33,777.1,235,38.2,27.7,58.5,28,76,104,83,57,32,3,75,3,0,-98,2006-07,4,0
Solomon Jones,ATL,22,58,20,38,665.7,189,50.8,0.0,78.7,49,87,136,11,25,11,42,124,1,0,-176,2006-07,8,1
David Noel,MIL,23,68,22,46,791.7,184,36.7,32.1,86.0,42,81,123,65,40,25,9,77,0,0,-180,2006-07,1,0
Shawne Williams,IND,21,46,19,27,556.2,180,46.9,36.5,55.0,33,50,83,22,24,6,8,69,0,0,-127,2006-07,7,1
Hilton Armstrong,NOK,22,56,28,28,634.2,176,54.4,0.0,59.7,58,91,149,10,35,12,26,79,0,0,-18,2006-07,6,1
Hassan Adams,NJN,23,61,31,30,495.5,174,55.6,0.0,66.7,35,42,77,13,22,17,4,47,0,0,-18,2006-07,2,0
Lynn Greer,MIL,27,41,10,31,431.8,167,43.3,34.6,84.4,2,25,27,53,18,17,1,32,0,0,-23,2006-07,1,0
Chris Quinn,MIA,23,42,18,24,407.9,141,36.6,35.1,67.6,6,24,30,65,21,15,0,32,0,0,12,2006-07,6,1
Justin Williams,SAC,23,26,7,19,333.3,131,61.4,0.0,36.5,51,64,115,2,15,5,16,51,2,0,-59,2006-07,2,0
