PLAYER,TEAM,AGE,GP,W,L,MIN,PTS,FG%,3P%,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,DD2,TD3,+/-,SEASON,NUM_YRS,TARGET_4UP
Marcus Williams,LAC,21,11,3,8,36.0,10,25.0,0.0,0.0,4,8,12,3,0,1,1,3,0,0,-1,2007-08,6,1
Marcus Williams,NJN,21,79,40,39,1314.5,534,39.5,28.2,84.7,29,134,163,260,142,29,2,96,0,0,-36,2006-07,6,1
Cheikh Samb,DET,23,4,2,2,31.3,7,75.0,0.0,50.0,3,4,7,0,1,1,2,8,0,0,3,2007-08,2,0
Guillermo Diaz,LAC,23,6,2,4,18.0,5,25.0,0.0,60.0,2,0,2,1,0,0,0,0,0,0,4,2007-08,1,0
Lance Allred,CLE,27,3,0,3,10.1,3,25.0,0.0,50.0,0,1,1,0,0,0,0,1,0,0,-13,2007-08,1,0
Keith Langford,SAS,24,2,1,1,9.6,2,25.0,0.0,0.0,0,2,2,0,0,0,0,1,0,0,7,2007-08,1,0
Courtney Sims,IND,24,3,2,1,11.1,0,0.0,0.0,0.0,1,1,2,1,0,0,0,2,0,0,-1,2007-08,2,0
Brandon Roy,POR,22,57,23,34,2014.5,955,45.6,37.7,83.8,58,192,250,230,116,67,10,139,4,0,-191,2006-07,6,1
Adam Morrison,CHA,22,78,30,48,2325.8,917,37.6,33.7,71.0,54,176,230,163,130,28,6,179,0,0,-238,2006-07,3,0
Rudy Gay,MEM,20,78,20,58,2103.3,846,42.2,36.4,72.7,93,255,348,100,140,71,74,192,5,0,-125,2006-07,16,1
Randy Foye,MIN,23,82,32,50,1879.3,832,43.4,36.8,85.4,49,169,218,232,152,53,21,184,1,0,-166,2006-07,11,1
